ID,x,y,z,actin_ids,node_xsection,connected_node_id
0,2,749,648,0,2.4344,
1,340,442,633,47,0.18400000000000002,56
2,4,828,645,1,0.21280000000000002,
3,245,773,621,"38,18,41",0.3264,
4,9,904,648,"2,1,30",1.3632,
5,219,948,623,37,0.1464,
6,16,562,694,3,0.16080000000000003,
7,59,510,641,3,1.1536,30
8,18,975,647,4,0.6568,
9,65,987,643,"31,5,42",0.7856000000000001,
10,29,1022,651,"5,4,31",0.9104000000000001,
11,460,1091,661,43,0.4328,
12,29,476,691,6,0.36480000000000007,
13,483,409,656,48,0.32160000000000005,
14,44,651,638,"7,0,32",0.5872,
15,92,547,633,7,0.0,32
16,47,392,691,8,0.23440000000000003,
17,409,139,669,44,0.0088,
18,70,1163,661,9,0.0176,
19,346,1221,671,"9,35,43",3.0032,
20,70,1165,737,10,0.32880000000000004,
21,234,1263,737,10,0.0,
22,89,987,639,"11,33,42",0.4336,
23,131,989,633,11,0.0152,
24,93,905,633,12,0.0016,
25,125,940,628,12,0.0368,
26,100,229,671,"13,8,34",0.7424,
27,333,59,680,"13,34,44",1.5496,
28,102,1036,643,"14,33,35",0.5408,
29,360,1001,635,39,0.1696,
30,128,483,632,15,0.005600000000000001,7
31,169,554,623,"15,16,45",0.96,
32,153,468,632,16,0.0008,15
33,197,508,625,"45,17,46",0.5808,
34,187,479,627,17,0.23600000000000002,
35,272,386,633,46,0.0,
36,191,826,621,"18,2,36",0.8224,
37,379,690,624,41,0.0216,
38,195,870,622,"19,36,37",0.42560000000000003,
39,265,907,623,19,0.5984,48
40,205,538,624,20,0.036000000000000004,
41,238,510,624,"20,32,47",0.5688000000000001,
42,211,700,620,"21,30,38",0.6168,
43,380,583,625,21,0.34,58
44,266,439,626,22,0.0016,
45,296,376,633,22,0.0,
46,302,545,625,23,0.0088,
47,336,562,623,23,0.062400000000000004,
48,305,862,622,24,0.0,39
49,356,885,623,24,0.192,54
50,317,1057,639,"25,14,39",0.8520000000000001,
51,478,1002,664,25,0.7808,
52,349,266,666,"26,6,40",0.828,
53,438,201,683,26,0.44079999999999997,
54,383,861,625,27,0.0032,49
55,444,833,633,27,0.0,
56,429,396,646,28,0.0024,1
57,473,382,649,"28,40,48",0.9224,
58,444,535,636,29,0.16640000000000002,43
59,494,537,644,29,0.8088,
